startup_name,sector,subvertical,city,investors,investment_type,amount_usd,date,source_period,year,sector_clean
NextSense,Mobility,Micro Mobility,Hyderabad,"A91 Partners, Falcon Edge, Prosus Ventures",Series A,1643000.0,2024-07-10,recent_2020_2025,2024,Mobility
Zomato,Healthtech,Pharmacy,Mumbai,"Blume Ventures, Elevation Capital",Private Equity,201485000.0,2024-02-29,recent_2020_2025,2024,Healthtech
FarmTech,Edtech,UpSkilling,Noida,Accel,Series A,4142000.0,2025-01-28,recent_2020_2025,2025,Edtech
Innovaccer,Enterprise,Security,Bengaluru,Ribbit Capital,Pre-Seed,54000.0,2024-04-28,recent_2020_2025,2024,Enterprise
CureFit,Healthtech,Health Analytics,Noida,Accel,Series B,11211000.0,2023-02-22,recent_2020_2025,2023,Healthtech
WorkPay,Enterprise,Security,Ahmedabad,Tiger Global,Series A,5243000.0,2022-05-30,recent_2020_2025,2022,Enterprise
Mobikwik,Retail,E-Retail,Pune,"Accel, Bessemer Venture Partners, IFC",Seed,84000.0,2021-05-26,recent_2020_2025,2021,Retail
Freshworks,Agritech,Marketplace,Delhi,Tiger Global Management,Angel,12000.0,2021-04-29,recent_2020_2025,2021,Agritech
EduTech,Fintech,Lending,Pune,"IFC, Matrix Partners India, Zodius Capital",Series C,53939000.0,2022-04-23,recent_2020_2025,2022,Fintech
AeroStack,Fintech,InsurTech,Gurugram,"Y Combinator, Zodius Capital",Seed,269000.0,2025-02-23,recent_2020_2025,2025,Fintech
HomeFoods,Realestate,PropTech,Chennai,Tiger Global Management,Seed,905000.0,2024-11-05,recent_2020_2025,2024,Real Estate
QuantumSolutions,Mobility,EV,Noida,IFC,Seed,104000.0,2020-02-26,recent_2020_2025,2020,Mobility
Swiggy,Healthtech,Pharmacy,Bengaluru,Kedaara Capital,Seed,333000.0,2022-06-08,recent_2020_2025,2022,Healthtech
HyperLabs,Mobility,Ride Sharing,Chennai,Tiger Global,Angel,29000.0,2021-01-24,recent_2020_2025,2021,Mobility
DriveEdge_29,Retail,Fashion,Gurugram,"LCatterton, Prosus Ventures, Ribbit Capital",Pre-Series A,111000.0,2020-05-23,recent_2020_2025,2020,Retail
NeoTech,Logistics,Fleet Management,Hyderabad,"A91 Partners, Kedaara Capital",Series B,26948000.0,2021-10-30,recent_2020_2025,2021,Logistics
CloudLabs,Foodtech,Grocery,Delhi,"A91 Partners, Sequoia Capital India",Series A,1587000.0,2021-09-08,recent_2020_2025,2021,Foodtech
SmartTech,Retail,Fashion,Ahmedabad,"Info Edge, Lightspeed India",Series B,5988000.0,2022-08-10,recent_2020_2025,2022,Retail
FarmBox,Retail,Fashion,Delhi,"Prosus Ventures, Ribbit Capital",Series B,69429000.0,2021-08-04,recent_2020_2025,2021,Retail
Bounce,Enterprise,Analytics,Hyderabad,Sequoia Capital India,Seed,1762000.0,2021-02-11,recent_2020_2025,2021,Enterprise
HomeMart,Agritech,Supply Chain,Kolkata,"Kedaara Capital, Lightspeed India",Pre-Series A,643000.0,2023-07-13,recent_2020_2025,2023,Agritech
NimbusLabs,Healthtech,Telemedicine,Mumbai,Bessemer Venture Partners,Series C,45633000.0,2021-03-24,recent_2020_2025,2021,Healthtech
SmartMart_37,Edtech,Test Prep,Kolkata,"A91 Partners, Falcon Edge, SoftBank Vision Fund",Seed,72000.0,2022-08-09,recent_2020_2025,2022,Edtech
Ola,Agritech,Marketplace,Noida,"Blume Ventures, Info Edge",Pre-Series A,483000.0,2025-01-31,recent_2020_2025,2025,Agritech
FarmBox,Retail,E-Retail,Hyderabad,"Elevation Capital, Ribbit Capital",Series C,65870000.0,2022-12-03,recent_2020_2025,2022,Retail
Dunzo,Media,Content,Gurugram,"Accel, Nexus Venture Partners",Seed,78000.0,2021-10-16,recent_2020_2025,2021,Media
AeroHub,Media,Social,Mumbai,"Mirae Asset, Tiger Global",Pre-Series A,313000.0,2021-11-08,recent_2020_2025,2021,Media
QuantumDrive,Retail,Fashion,Bengaluru,"Sequoia Capital India, Y Combinator",Series D,54120000.0,2024-04-16,recent_2020_2025,2024,Retail
AgriFit,Foodtech,Food Delivery,Noida,"LCatterton, Mirae Asset",Series B,62216000.0,2023-01-23,recent_2020_2025,2023,Foodtech
SkillFlow,Fintech,InsurTech,Pune,"Kedaara Capital, Zodius Capital",Series B,10246000.0,2024-06-22,recent_2020_2025,2024,Fintech
FreshSolutions,Mobility,Ride Sharing,Chennai,Accel,Series A,6014000.0,2023-09-19,recent_2020_2025,2023,Mobility
DriveLoop,Consumer Electronics,Audio,Bengaluru,Info Edge,Seed,158000.0,2021-11-01,recent_2020_2025,2021,Consumer Electronics
BlueSpace,Foodtech,Food Delivery,Chennai,"A91 Partners, Sequoia Capital India",Seed,341000.0,2020-06-16,recent_2020_2025,2020,Foodtech
NextFlow,E-Commerce,Quick Commerce,Bengaluru,Ribbit Capital,Bridge,376000.0,2021-02-12,recent_2020_2025,2021,Ecommerce
MediWorks,Realestate,PropTech,Ahmedabad,"Matrix Partners India, Omidyar Network, Y Combinator",Bridge,99000.0,2022-08-10,recent_2020_2025,2022,Real Estate
Porter,Retail,E-Retail,Hyderabad,A91 Partners,Seed,1788000.0,2020-02-22,recent_2020_2025,2020,Retail
UrbanSolutions,Media,Social,Mumbai,"Elevation Capital, Kedaara Capital, Matrix Partners India",Series A,8159000.0,2024-08-28,recent_2020_2025,2024,Media
Housejoy,Retail,Fashion,Bengaluru,"Falcon Edge, SoftBank Vision Fund, Y Combinator",Seed,1600000.0,2022-05-27,recent_2020_2025,2022,Retail
QuantumDrive,E-Commerce,Fashion,Pune,"Info Edge, Kedaara Capital",Series B,59765000.0,2024-08-24,recent_2020_2025,2024,Ecommerce
SkillFlow,Mobility,EV,Kolkata,"IFC, Matrix Partners India",Series A,5049000.0,2024-02-06,recent_2020_2025,2024,Mobility
Unacademy,Logistics,Supply Chain,Gurugram,"Prosus Ventures, SoftBank Vision Fund",Series C,242794000.0,2023-03-13,recent_2020_2025,2023,Logistics
NimbusLabs,Healthtech,Health Analytics,Gurugram,Elevation Capital,Pre-Series A,123000.0,2021-06-13,recent_2020_2025,2021,Healthtech
SkillSolutions,Mobility,Ride Sharing,Mumbai,"A91 Partners, Matrix Partners India",Seed,103000.0,2022-04-12,recent_2020_2025,2022,Mobility
FarmBox,Consumer Electronics,Wearables,Bengaluru,"Elevation Capital, Prosus Ventures",Seed,59000.0,2021-03-29,recent_2020_2025,2021,Consumer Electronics
Nykaa,Consumer Electronics,Smart Home,Noida,"Kedaara Capital, SoftBank Vision Fund",Seed,166000.0,2024-03-07,recent_2020_2025,2024,Consumer Electronics
SkillFlow,Edtech,Test Prep,Gurugram,"Peak XV, Prosus Ventures",Seed,210000.0,2024-03-01,recent_2020_2025,2024,Edtech
CloudLabs,Consumer Electronics,Wearables,Ahmedabad,"Accel, Elevation Capital",Bridge,136000.0,2022-12-10,recent_2020_2025,2022,Consumer Electronics
CloudLabs,Saas,DevTools,Hyderabad,Elevation Capital,Pre-Seed,135000.0,2022-12-29,recent_2020_2025,2022,SaaS
Udaan,Mobility,EV,Delhi,"Accel, Sequoia Capital India",Series B,13444000.0,2024-03-21,recent_2020_2025,2024,Mobility
HealthAnalytics,Consumer Electronics,Wearables,Delhi,"Accel, Tiger Global",Bridge,141000.0,2021-06-01,recent_2020_2025,2021,Consumer Electronics
NeoLabs_65,Realestate,Rental Tech,Bengaluru,"Accel, Peak XV",Seed,370000.0,2024-07-19,recent_2020_2025,2024,Real Estate
LogiMart,Retail,Grocery,Ahmedabad,Bessemer Venture Partners,Series A,1465000.0,2023-06-20,recent_2020_2025,2023,Retail
QuantumAnalytics,Consumer Electronics,Wearables,Ahmedabad,"Omidyar Network, Ribbit Capital",Debt,14625000.0,2021-09-17,recent_2020_2025,2021,Consumer Electronics
Practo,Retail,E-Retail,Gurugram,Matrix Partners India,Seed,66000.0,2020-06-15,recent_2020_2025,2020,Retail
Dunzo,Healthtech,Telemedicine,Chennai,"Elevation Capital, Matrix Partners India",Series A,14477000.0,2023-05-01,recent_2020_2025,2023,Healthtech
HealthAnalytics,Consumer Electronics,Audio,Gurugram,"Bessemer Venture Partners, Lightspeed India, Omidyar Network",Angel,51000.0,2024-06-01,recent_2020_2025,2024,Consumer Electronics
Porter,Mobility,Ride Sharing,Delhi,Tiger Global,Angel,9000.0,2024-08-19,recent_2020_2025,2024,Mobility
Dream11,Retail,Grocery,Ahmedabad,Info Edge,Series B,5077000.0,2023-03-11,recent_2020_2025,2023,Retail
InMobi,Media,Content,Chennai,"Accel, Mirae Asset",Bridge,1012000.0,2022-10-21,recent_2020_2025,2022,Media
Razorpay,Foodtech,Grocery,Pune,Lightspeed India,Series A,6782000.0,2020-02-22,recent_2020_2025,2020,Foodtech
DataAnalytics,Realestate,Home Services,Ahmedabad,Mirae Asset,Pre-Seed,107000.0,2024-03-28,recent_2020_2025,2024,Real Estate
Ola,Logistics,Last Mile,Ahmedabad,"Mirae Asset, Tiger Global Management",Series A,8074000.0,2024-07-25,recent_2020_2025,2024,Logistics
Freshworks,Saas,HRTech,Mumbai,"Elevation Capital, Kedaara Capital",Series D,59295000.0,2021-11-06,recent_2020_2025,2021,SaaS
FoodFit,Mobility,Ride Sharing,Kolkata,Nexus Venture Partners,Seed,188000.0,2021-05-31,recent_2020_2025,2021,Mobility
CoreConnect,Enterprise,Analytics,Noida,Falcon Edge,Series A,1369000.0,2020-04-21,recent_2020_2025,2020,Enterprise
Chargebee,Realestate,Home Services,Bengaluru,Peak XV,Seed,1207000.0,2023-01-29,recent_2020_2025,2023,Real Estate
Dailyhunt,Media,Content,Mumbai,"Bessemer Venture Partners, Kedaara Capital",Pre-Seed,84000.0,2023-07-14,recent_2020_2025,2023,Media
FreshTech,Mobility,EV,Mumbai,Info Edge,Seed,169000.0,2024-09-19,recent_2020_2025,2024,Mobility
Housejoy,Realestate,PropTech,Kolkata,"Kalaari Capital, Kedaara Capital",Angel,6000.0,2021-08-20,recent_2020_2025,2021,Real Estate
AgriHive,Edtech,Coding Bootcamp,Noida,"Falcon Edge, IFC",Seed,157000.0,2021-01-25,recent_2020_2025,2021,Edtech
CRED,Logistics,Supply Chain,Pune,Zodius Capital,Angel,13000.0,2022-11-05,recent_2020_2025,2022,Logistics
HealthAnalytics,Enterprise,Automation,Ahmedabad,Info Edge,Debt,9315000.0,2022-09-29,recent_2020_2025,2022,Enterprise
AgriHive,Mobility,Micro Mobility,Chennai,Tiger Global Management,Series A,5621000.0,2021-10-21,recent_2020_2025,2021,Mobility
MediWorks,Edtech,Coding Bootcamp,Bengaluru,"LCatterton, Tiger Global Management, Y Combinator",Seed,1319000.0,2022-08-26,recent_2020_2025,2022,Edtech
WorkPay,Fintech,Lending,Noida,IFC,Bridge,285000.0,2021-11-10,recent_2020_2025,2021,Fintech
Dailyhunt,E-Commerce,Grocery,Kolkata,"IFC, Tiger Global Management",Pre-Seed,26000.0,2020-10-22,recent_2020_2025,2020,Ecommerce
Dunzo,Consumer Electronics,Wearables,Pune,"Accel, Prosus Ventures, SoftBank Vision Fund",Series A,6900000.0,2022-03-25,recent_2020_2025,2022,Consumer Electronics
QuantumAnalytics,Realestate,Rental Tech,Kolkata,"Ribbit Capital, Tiger Global",Growth,372329000.0,2020-03-14,recent_2020_2025,2020,Real Estate
SmartTech,Media,Social,Chennai,"Accel, Blume Ventures, Kedaara Capital",Bridge,396000.0,2024-04-06,recent_2020_2025,2024,Media
Delhivery,Fintech,Payments,Pune,Y Combinator,Series C,161346000.0,2021-08-23,recent_2020_2025,2021,Fintech
GreenConnect,Foodtech,Grocery,Delhi,"IFC, Ribbit Capital",Seed,309000.0,2020-06-10,recent_2020_2025,2020,Foodtech
MediWorks,Agritech,Supply Chain,Gurugram,"Matrix Partners India, Sequoia Capital India",Series A,4119000.0,2021-06-04,recent_2020_2025,2021,Agritech
InMobi,Logistics,Fleet Management,Noida,Tiger Global Management,Seed,242000.0,2022-06-23,recent_2020_2025,2022,Logistics
Delhivery,Realestate,Home Services,Hyderabad,Tiger Global Management,Series A,1071000.0,2021-09-10,recent_2020_2025,2021,Real Estate
AgriHive,Foodtech,Grocery,Pune,Sequoia Capital India,Series A,1339000.0,2023-12-03,recent_2020_2025,2023,Foodtech
AutoMart,Agritech,Marketplace,Bengaluru,"LCatterton, Zodius Capital",Angel,5000.0,2024-03-06,recent_2020_2025,2024,Agritech
HomeFoods,Saas,DevTools,Gurugram,"Nexus Venture Partners, Prosus Ventures, Ventures India",Series A,5604000.0,2023-10-20,recent_2020_2025,2023,SaaS
Wakefit,Realestate,Rental Tech,Bengaluru,Omidyar Network,Seed,159000.0,2022-06-21,recent_2020_2025,2022,Real Estate
LogiSense,Logistics,Supply Chain,Chennai,"IFC, Y Combinator",Seed,326000.0,2020-09-27,recent_2020_2025,2020,Logistics
AeroAnalytics,Enterprise,Analytics,Hyderabad,"Elevation Capital, Tiger Global Management",Angel,76000.0,2025-04-17,recent_2020_2025,2025,Enterprise
BlueSpace,Consumer Electronics,Audio,Delhi,"Kedaara Capital, Tiger Global Management",Series C,39284000.0,2021-04-07,recent_2020_2025,2021,Consumer Electronics
Mobikwik,E-Commerce,Fashion,Bengaluru,"Ventures India, Y Combinator",Seed,227000.0,2020-09-10,recent_2020_2025,2020,Ecommerce
CureFit,Agritech,Smart Farming,Pune,"IFC, Sequoia Capital India",Seed,812000.0,2021-04-23,recent_2020_2025,2021,Agritech
NeoSense,Edtech,Test Prep,Kolkata,"Kalaari Capital, Nexus Venture Partners, Peak XV",Angel,10000.0,2021-09-10,recent_2020_2025,2021,Edtech
Oyo,Consumer Electronics,Audio,Mumbai,Kalaari Capital,Seed,66000.0,2023-01-05,recent_2020_2025,2023,Consumer Electronics
Nykaa,Realestate,Rental Tech,Noida,"Accel, Blume Ventures, Kalaari Capital",Pre-Series A,195000.0,2024-02-29,recent_2020_2025,2024,Real Estate
NeoLabs,Logistics,Last Mile,Pune,IFC,Seed,91000.0,2022-06-29,recent_2020_2025,2022,Logistics
Practo,Realestate,Home Services,Noida,Tiger Global,Angel,81000.0,2023-08-13,recent_2020_2025,2023,Real Estate
SkillSolutions,E-Commerce,Fashion,Mumbai,"Bessemer Venture Partners, Omidyar Network, Sequoia Capital India",Series B,46994000.0,2023-08-07,recent_2020_2025,2023,Ecommerce
HomeMart,Retail,Fashion,Gurugram,Lightspeed India,Seed,517000.0,2024-04-16,recent_2020_2025,2024,Retail
PharmEasy,Saas,DevTools,Ahmedabad,Tiger Global Management,Pre-Seed,149000.0,2024-10-24,recent_2020_2025,2024,SaaS
AutoStack,E-Commerce,Quick Commerce,Delhi,Omidyar Network,Pre-Seed,127000.0,2024-06-05,recent_2020_2025,2024,Ecommerce
PhonePe,Healthtech,Pharmacy,Bengaluru,"Accel, Tiger Global",Seed,100000.0,2022-05-12,recent_2020_2025,2022,Healthtech
EduMart,Mobility,Micro Mobility,Mumbai,"Bessemer Venture Partners, Tiger Global",Series A,11213000.0,2021-03-29,recent_2020_2025,2021,Mobility
Oyo,Consumer Electronics,Smart Home,Bengaluru,"Accel, Info Edge",Seed,366000.0,2022-09-07,recent_2020_2025,2022,Consumer Electronics
Ola,E-Commerce,Quick Commerce,Pune,Elevation Capital,Series A,8905000.0,2020-05-14,recent_2020_2025,2020,Ecommerce
NeoSense,Agritech,Marketplace,Hyderabad,"Accel, Kedaara Capital",Series A,11321000.0,2023-05-24,recent_2020_2025,2023,Agritech
GreenEdge,Edtech,Coding Bootcamp,Pune,"Kedaara Capital, SoftBank Vision Fund",Series C,47319000.0,2022-03-27,recent_2020_2025,2022,Edtech
HyperLabs,Saas,DevTools,Kolkata,Accel,Seed,75000.0,2024-08-30,recent_2020_2025,2024,SaaS
Wakefit,Media,Streaming,Pune,Omidyar Network,Series C,37077000.0,2023-02-13,recent_2020_2025,2023,Media
FreshBox,Foodtech,Food Delivery,Chennai,Tiger Global Management,Growth,154344000.0,2024-01-16,recent_2020_2025,2024,Foodtech
FreshTech,Agritech,Marketplace,Gurugram,IFC,Seed,1022000.0,2022-09-14,recent_2020_2025,2022,Agritech
NextFlow,Saas,B2B SaaS,Hyderabad,"Tiger Global Management, Zodius Capital",Series A,10287000.0,2024-07-11,recent_2020_2025,2024,SaaS
GrowthFlow,Realestate,Rental Tech,Hyderabad,"LCatterton, Ventures India, Y Combinator",Pre-Seed,20000.0,2021-07-13,recent_2020_2025,2021,Real Estate
BlueTech,Agritech,Marketplace,Chennai,"Accel, Falcon Edge, Tiger Global Management",Seed,329000.0,2024-02-26,recent_2020_2025,2024,Agritech
UrbanSolutions,Saas,DevTools,Pune,"IFC, Omidyar Network",Seed,233000.0,2021-10-26,recent_2020_2025,2021,SaaS
HyperLoop,Agritech,Supply Chain,Mumbai,"Info Edge, Mirae Asset",Seed,113000.0,2023-09-17,recent_2020_2025,2023,Agritech
SkillFlow,Mobility,Ride Sharing,Pune,"Mirae Asset, Prosus Ventures",Pre-Series A,132000.0,2021-08-03,recent_2020_2025,2021,Mobility
FarmFit,Agritech,Supply Chain,Bengaluru,Ventures India,Seed,174000.0,2025-04-20,recent_2020_2025,2025,Agritech
CloudSolutions,E-Commerce,Quick Commerce,Kolkata,Y Combinator,Series B,68288000.0,2020-12-25,recent_2020_2025,2020,Ecommerce
HomeFoods,Enterprise,Automation,Pune,"LCatterton, Sequoia Capital India, Tiger Global",Seed,165000.0,2024-10-30,recent_2020_2025,2024,Enterprise
HyperLabs,Agritech,Smart Farming,Chennai,Tiger Global Management,Seed,339000.0,2022-04-09,recent_2020_2025,2022,Agritech
Lenskart,Retail,Fashion,Kolkata,Accel,Series D,252342000.0,2025-02-26,recent_2020_2025,2025,Retail
AeroStack,Agritech,Smart Farming,Noida,Ventures India,Seed,191000.0,2024-11-17,recent_2020_2025,2024,Agritech
HomeAnalytics,Healthtech,Telemedicine,Noida,"Bessemer Venture Partners, Lightspeed India",Series B,73980000.0,2022-12-22,recent_2020_2025,2022,Healthtech
NextFlow,Enterprise,Automation,Delhi,Lightspeed India,Seed,1741000.0,2020-10-26,recent_2020_2025,2020,Enterprise
HyperLoop,Realestate,PropTech,Delhi,"A91 Partners, Mirae Asset",Bridge,127000.0,2023-07-10,recent_2020_2025,2023,Real Estate
EduMart,Agritech,Marketplace,Ahmedabad,"Info Edge, Mirae Asset, SoftBank Vision Fund",Seed,313000.0,2025-06-11,recent_2020_2025,2025,Agritech
Oyo,Retail,Grocery,Ahmedabad,SoftBank Vision Fund,Seed,152000.0,2022-11-05,recent_2020_2025,2022,Retail
EduBox_144,Saas,HRTech,Mumbai,Omidyar Network,Series B,11014000.0,2025-06-24,recent_2020_2025,2025,SaaS
ClearDekho,Foodtech,Food Delivery,Ahmedabad,"Info Edge, LCatterton, Zodius Capital",Series A,1105000.0,2024-06-09,recent_2020_2025,2024,Foodtech
FinFoods,Consumer Electronics,Smart Home,Delhi,Zodius Capital,Bridge,474000.0,2022-07-11,recent_2020_2025,2022,Consumer Electronics
DataHive,E-Commerce,Grocery,Delhi,"Falcon Edge, Tiger Global Management",Pre-Seed,64000.0,2023-12-20,recent_2020_2025,2023,Ecommerce
NextSense,Logistics,Supply Chain,Chennai,"Ribbit Capital, Tiger Global",Series C,22992000.0,2023-10-22,recent_2020_2025,2023,Logistics
WorkStack_149,E-Commerce,Grocery,Chennai,"Nexus Venture Partners, Omidyar Network, Tiger Global Management",Seed,140000.0,2024-01-22,recent_2020_2025,2024,Ecommerce
HealthRise,Healthtech,Pharmacy,Hyderabad,"Kalaari Capital, Omidyar Network, Peak XV",Bridge,1426000.0,2023-12-01,recent_2020_2025,2023,Healthtech
FreshTech,Realestate,Home Services,Delhi,"Accel, LCatterton, Tiger Global Management",Series B,9715000.0,2024-08-24,recent_2020_2025,2024,Real Estate
Innovaccer,Mobility,EV,Bengaluru,SoftBank Vision Fund,Pre-Series A,140000.0,2021-01-04,recent_2020_2025,2021,Mobility
Myntra,Edtech,K12,Delhi,Falcon Edge,Seed,304000.0,2021-08-28,recent_2020_2025,2021,Edtech
GrowthConnect,Retail,Fashion,Delhi,Blume Ventures,Series A,14428000.0,2020-11-11,recent_2020_2025,2020,Retail
Dream11,Media,Content,Bengaluru,"Elevation Capital, Info Edge, Matrix Partners India",Pre-Series A,175000.0,2023-10-17,recent_2020_2025,2023,Media
EduMart,Edtech,UpSkilling,Kolkata,Prosus Ventures,Angel,37000.0,2021-02-01,recent_2020_2025,2021,Edtech
Dailyhunt,Consumer Electronics,Wearables,Chennai,Zodius Capital,Series A,7866000.0,2022-05-07,recent_2020_2025,2022,Consumer Electronics
FinSense,Fintech,InsurTech,Pune,"Elevation Capital, IFC, Zodius Capital",Series A,1903000.0,2020-07-29,recent_2020_2025,2020,Fintech
BharatPe,Logistics,Supply Chain,Noida,Peak XV,Seed,734000.0,2022-06-14,recent_2020_2025,2022,Logistics
HomeAnalytics,Saas,B2B SaaS,Chennai,Matrix Partners India,Seed,194000.0,2022-10-25,recent_2020_2025,2022,SaaS
HealthRise,Fintech,WealthTech,Mumbai,Bessemer Venture Partners,Series D,214425000.0,2023-08-24,recent_2020_2025,2023,Fintech
FinSense_162,Enterprise,Security,Delhi,"LCatterton, Omidyar Network",Series C,111204000.0,2022-08-18,recent_2020_2025,2022,Enterprise
PhonePe,Logistics,Last Mile,Delhi,"Accel, Falcon Edge",Series A,4267000.0,2024-01-29,recent_2020_2025,2024,Logistics
SmartTech,E-Commerce,Quick Commerce,Gurugram,"Accel, Info Edge",Pre-Series A,123000.0,2024-06-13,recent_2020_2025,2024,Ecommerce
Chargebee,Agritech,Marketplace,Bengaluru,Kedaara Capital,Series B,50673000.0,2023-03-23,recent_2020_2025,2023,Agritech
Cars24,Foodtech,Cloud Kitchen,Ahmedabad,"Blume Ventures, Prosus Ventures",Pre-Series A,209000.0,2023-03-14,recent_2020_2025,2023,Foodtech
ShareChat,E-Commerce,Grocery,Noida,"IFC, Sequoia Capital India",Series A,1657000.0,2022-11-05,recent_2020_2025,2022,Ecommerce
FarmFit,Saas,HRTech,Bengaluru,Matrix Partners India,Pre-Series A,110000.0,2020-05-18,recent_2020_2025,2020,SaaS
Zomato,Retail,Fashion,Pune,"Ribbit Capital, SoftBank Vision Fund",Seed,442000.0,2021-12-22,recent_2020_2025,2021,Retail
SmartMart,Consumer Electronics,Smart Home,Delhi,"Bessemer Venture Partners, Elevation Capital, Info Edge",Series C,125287000.0,2020-05-09,recent_2020_2025,2020,Consumer Electronics
FarmFit,Fintech,WealthTech,Hyderabad,"Mirae Asset, Sequoia Capital India",Series A,1046000.0,2024-07-27,recent_2020_2025,2024,Fintech
FinFoods,Enterprise,Analytics,Pune,Info Edge,Seed,331000.0,2024-06-25,recent_2020_2025,2024,Enterprise
FoodFit,Foodtech,Food Delivery,Delhi,Peak XV,Series A,1847000.0,2022-10-15,recent_2020_2025,2022,Foodtech
NextStack,Media,Content,Mumbai,A91 Partners,Series A,5738000.0,2024-08-11,recent_2020_2025,2024,Media
AgriSense,Saas,HRTech,Hyderabad,"Blume Ventures, Info Edge",Series A,1604000.0,2024-01-09,recent_2020_2025,2024,SaaS
EduMart_176,Enterprise,Security,Ahmedabad,"Peak XV, Tiger Global, Tiger Global Management",Debt,7325000.0,2021-07-16,recent_2020_2025,2021,Enterprise
CoreConnect,Retail,Fashion,Delhi,"Info Edge, Prosus Ventures",Bridge,208000.0,2020-10-19,recent_2020_2025,2020,Retail
FreshSolutions_178,Retail,Fashion,Pune,"Nexus Venture Partners, Sequoia Capital India",Pre-Series A,864000.0,2025-04-28,recent_2020_2025,2025,Retail
EduBox,Saas,MarTech,Mumbai,Kalaari Capital,Series A,1451000.0,2022-12-20,recent_2020_2025,2022,SaaS
QuantumSolutions,E-Commerce,Quick Commerce,Delhi,"Bessemer Venture Partners, Nexus Venture Partners",Series A,2518000.0,2022-03-03,recent_2020_2025,2022,Ecommerce
EduMart,Agritech,Smart Farming,Kolkata,Info Edge,Seed,76000.0,2020-10-04,recent_2020_2025,2020,Agritech
Ola,E-Commerce,D2C,Pune,Elevation Capital,Series B,64925000.0,2023-01-31,recent_2020_2025,2023,Ecommerce
NextSense,Media,Streaming,Delhi,Nexus Venture Partners,Series C,215209000.0,2022-11-07,recent_2020_2025,2022,Media
CloudPay,Edtech,Coding Bootcamp,Bengaluru,Mirae Asset,Pre-Series A,181000.0,2023-03-18,recent_2020_2025,2023,Edtech
LogiSense,E-Commerce,Quick Commerce,Hyderabad,"Kalaari Capital, Mirae Asset",Pre-Series A,457000.0,2024-01-08,recent_2020_2025,2024,Ecommerce
Groww,Healthtech,Pharmacy,Mumbai,"IFC, SoftBank Vision Fund",Series A,9144000.0,2023-10-24,recent_2020_2025,2023,Healthtech
BlueTech,Healthtech,Health Analytics,Noida,Falcon Edge,Angel,26000.0,2020-04-23,recent_2020_2025,2020,Healthtech
Oyo,Healthtech,Diagnostics,Pune,Peak XV,Angel,24000.0,2021-04-06,recent_2020_2025,2021,Healthtech
HealthAnalytics,Logistics,Last Mile,Noida,Omidyar Network,Seed,122000.0,2023-07-04,recent_2020_2025,2023,Logistics
Bounce,Mobility,Micro Mobility,Delhi,Blume Ventures,Series A,1287000.0,2023-04-04,recent_2020_2025,2023,Mobility
BlueSpace,Agritech,Supply Chain,Bengaluru,"Bessemer Venture Partners, Lightspeed India, Matrix Partners India",Seed,1369000.0,2025-04-26,recent_2020_2025,2025,Agritech
SkillRise,Fintech,InsurTech,Noida,Mirae Asset,Seed,1385000.0,2025-05-13,recent_2020_2025,2025,Fintech
